task_cluster,raw_accuracy,humanized_accuracy,raw_fake_accuracy,humanized_unhumanize_accuracy,rot_humanized_accuracy,fake_rot_tap_humanized_accuracy
0,0.0030388031790556337,0.6175292708856673,0.5945590987470952,0.0,0.0031988188976377952,0.6050592010034572
1,0.020481927710843374,0.5987477895005349,0.5907300567402505,0.0,0.0038590172369436584,0.6113920788977754
2,0.00586940572267058,0.6034175306522793,0.5919923294757733,0.0,0.0013304949441192123,0.6130463956835684
3,0.005597014925373134,0.6089952358624903,0.5958911436848519,0.0,0.0025075225677031092,0.5963445519384993
4,0.003355704697986577,0.6098883652949626,0.5962054585003235,0.0,0.001539645881447267,0.6030457315442181
