task_cluster,raw_accuracy,humanized_accuracy,raw_fake_accuracy,humanized_unhumanize_accuracy,rot_humanized_accuracy,fake_rot_tap_humanized_accuracy
0,0.9969611968209444,0.6175292708856673,0.5930175329071927,1.0,0.9968011811023622,0.6050592010034572
1,0.9795180722891567,0.5987477895005349,0.5921131975607345,1.0,0.9961409827630563,0.6113920788977754
2,0.9941305942773294,0.6034175306522793,0.5914351841481105,1.0,0.9986695050558808,0.6130463956835684
3,0.9944029850746269,0.6089952358624903,0.5963717806280976,1.0,0.9974924774322969,0.5963445519384993
4,0.9966442953020134,0.6098883652949626,0.5987298116656155,1.0,0.9984603541185527,0.6030457315442181
