task_cluster,raw_accuracy,humanized_accuracy,raw_fake_accuracy,humanized_fake_accuracy,rot_humanized_accuracy,fake_rot_tap_humanized_accuracy
0,0.8717406624383368,0.8631656804733728,0.5068940367450422,0.5055403556771546,0.8923315259488769,0.5608001403755045
1,0.8910761154855643,0.8821761346558461,0.5232125955167717,0.5232084052062098,0.9094240837696335,0.5554022988505747
2,0.9046728971962616,0.8968152866242038,0.5473053245490874,0.5481696759831808,0.9004854368932039,0.5325774242680656
3,0.7971602434077079,0.8022064617809299,0.5838762011730937,0.5836833323744318,0.8610932475884244,0.5078751296802791
4,0.8592394929953302,0.8679098679098679,0.5105576610720086,0.5123370937000978,0.8840399002493765,0.5634317862165964
